pitch_type,release_speed,release_spin_rate,norm_hb,norm_ivb,release_pos_x,release_pos_y,release_pos_z,release_extension,p_throws_L
CH,85.96179,1791.2269,-1.2067188,0.36207312,-0.5635613,54.073547,5.7155,6.4266667,0.33984308736217134
CU,79.65357,2604.1304,0.77286434,-0.8448564,-0.6914023,54.146683,5.9406104,6.3533454,0.302819659291169
FC,89.77309,2413.8457,0.1749044,0.6920804,-0.9251145,54.13631,5.8199306,6.363655,0.2341869709835312
FF,94.522736,2318.467,-0.64974177,1.3226384,-0.8265133,53.989414,5.8227572,6.5105734,0.26118615877652024
FS,86.50566,1361.7789,-0.9419564,0.28414667,-1.5328356,53.937542,5.759414,6.562496,0.09664267057399503
KC,82.82012,2505.2336,0.5561483,-0.7973514,-1.0516841,54.127914,5.955887,6.3723207,0.19014084507042253
SI,93.88004,2188.399,-1.2719438,0.6268213,-0.7577505,54.0935,5.653385,6.406499,0.2856046696445699
SL,86.38618,2432.3008,0.34114817,0.14811045,-0.7742744,54.07673,5.846115,6.423123,0.26328992951857605
ST,82.634995,2607.224,1.1366905,0.082450256,-1.0565625,54.171577,5.5062585,6.328563,0.23329245861434703
SV,81.76383,2591.3865,1.0450075,-0.43323308,-0.9195564,54.37266,5.6556764,6.126541,0.2733082706766917
