batter,swing_rate,pitches,in_zone_swing_pct,in_zone_pitches,o_zone_swing_pct,o_zone_pitches
514888,0.503805,1971,0.663366,707,0.414557,1264
518692,0.514985,2002,0.779172,797,0.340249,1205
521692,0.581779,1877,0.762162,740,0.464380,1137
553993,0.506518,2148,0.720721,888,0.355556,1260
572233,0.517290,2140,0.771557,893,0.335204,1247
592206,0.586368,1922,0.818056,720,0.447587,1202
592450,0.450479,2191,0.718377,838,0.284553,1353
592518,0.496063,2286,0.734561,923,0.334556,1363
592885,0.454667,2250,0.680272,882,0.309211,1368
596019,0.487324,2485,0.702048,1074,0.323884,1411
596115,0.542209,2073,0.738069,901,0.391638,1172
605141,0.415774,2054,0.632130,859,0.260251,1195
606192,0.501429,1749,0.714660,764,0.336041,985
607043,0.468431,2154,0.690428,982,0.282423,1172
607208,0.512313,2274,0.760131,913,0.346069,1361
608070,0.470726,2135,0.678657,834,0.337433,1301
621020,0.505345,2058,0.768805,904,0.298960,1154
621043,0.467275,1864,0.680000,750,0.324057,1114
621493,0.373750,2400,0.565041,984,0.240819,1416
621566,0.450488,2666,0.681989,1066,0.296250,1600
624413,0.467571,2359,0.686695,932,0.324457,1427
641355,0.488361,2148,0.688297,863,0.354086,1285
641487,0.446285,2355,0.677725,1055,0.258462,1300
641857,0.450614,2197,0.677316,939,0.281399,1258
642715,0.470137,2344,0.714286,931,0.309271,1413
645277,0.543457,2048,0.813367,793,0.372908,1255
646240,0.477548,2561,0.745366,1025,0.298828,1536
647304,0.544084,1724,0.742857,700,0.408203,1024
650333,0.499527,2114,0.627349,958,0.393599,1156
650402,0.412460,2199,0.693348,887,0.222561,1312
650490,0.444341,2147,0.652505,918,0.288853,1229
656941,0.415415,2530,0.657426,1010,0.254605,1520
660271,0.445466,2393,0.680390,923,0.297959,1470
661388,0.464758,2270,0.716814,904,0.297950,1366
663457,0.394537,1977,0.600242,828,0.246301,1149
663538,0.489589,1873,0.652605,806,0.366448,1067
663616,0.439915,1889,0.649867,754,0.300441,1135
663647,0.447956,1835,0.645078,772,0.304798,1063
663728,0.515000,2400,0.760965,912,0.364247,1488
663993,0.450471,2231,0.662272,986,0.282731,1245
664023,0.435491,2209,0.669744,975,0.250405,1234
664040,0.548241,1762,0.802649,755,0.357498,1007
665487,0.458498,2277,0.734926,879,0.284692,1398
665489,0.410765,2118,0.630662,861,0.260143,1257
665742,0.348846,2514,0.587379,1030,0.183288,1484
666176,0.526147,1874,0.778990,733,0.363716,1141
666182,0.532574,2195,0.750288,869,0.389894,1326
666969,0.517241,2001,0.716883,770,0.392364,1231
667670,0.506002,2166,0.791667,864,0.316436,1302
668227,0.439601,2409,0.656187,986,0.289529,1423
668715,0.480000,2025,0.703261,920,0.294118,1105
668804,0.495050,2222,0.767699,904,0.308042,1318
668930,0.454113,2310,0.661692,1005,0.294253,1305
669364,0.484694,1960,0.729093,849,0.297930,1111
670770,0.393884,2191,0.588113,959,0.242695,1232
671218,0.475300,2247,0.674646,919,0.337349,1328
671732,0.467036,2169,0.711722,836,0.313578,1333
671739,0.568777,1832,0.721116,753,0.462465,1079
672580,0.401034,2127,0.598907,915,0.251650,1212
672640,0.454906,1763,0.656250,736,0.310613,1027
672695,0.390873,2520,0.592362,1126,0.228121,1394
672820,0.511953,1715,0.614493,690,0.442927,1025
673237,0.594297,1543,0.796491,570,0.475848,973
673548,0.406452,2325,0.608428,973,0.261095,1352
676391,0.539390,1574,0.734848,660,0.398249,914
677594,0.551011,2127,0.773318,847,0.403906,1280
677951,0.511152,2152,0.745143,875,0.350822,1277
678246,0.467615,2038,0.737084,871,0.266495,1167
678882,0.593909,1773,0.779754,731,0.463532,1042
679529,0.444796,2210,0.689103,936,0.265306,1274
680574,0.432255,1978,0.620899,823,0.297835,1155
680757,0.416485,2293,0.606414,1029,0.261867,1264
680776,0.470933,2219,0.649203,878,0.354213,1341
681624,0.545778,1966,0.757303,890,0.370818,1076
682663,0.500000,1710,0.717293,665,0.361722,1045
682829,0.454064,2264,0.663727,907,0.313928,1357
682928,0.495634,1947,0.671856,835,0.363309,1112
682985,0.521108,2274,0.771214,931,0.347729,1343
682998,0.489688,2085,0.687574,845,0.354839,1240
683002,0.473608,2084,0.684571,875,0.320926,1209
683011,0.457917,2103,0.671111,900,0.298421,1203
683737,0.473795,1908,0.719320,823,0.287558,1085
686217,0.439487,1950,0.599765,852,0.315118,1098
686469,0.475547,2147,0.665552,897,0.339200,1250
687263,0.487128,1981,0.719528,763,0.341544,1218
687597,0.467105,1976,0.692118,812,0.310137,1164
691016,0.483578,1979,0.702801,821,0.328152,1158
691406,0.512585,2066,0.721097,839,0.370008,1227
691718,0.604723,1948,0.828571,735,0.469085,1213
694192,0.543360,1649,0.732644,677,0.411523,972
695578,0.400245,2446,0.584247,1003,0.272349,1443
696100,0.548497,1763,0.778582,691,0.400187,1072
702616,0.482074,2064,0.722751,945,0.278820,1119
808982,0.449515,2060,0.661325,936,0.273132,1124
