batter,sz_bot,sz_top
514888,1.2937,2.86
518692,1.8045,3.7304
521692,1.71,3.68
553993,1.59,3.5
572233,1.57,3.4
592206,1.88,3.88
592450,1.85,4.04
592518,1.66,3.6831
592885,1.74,3.4128
596019,1.56,3.4363
596115,1.61,3.47
605141,1.52,3.23
606192,1.6631,3.57
607043,1.72,3.63
607208,1.7023,3.48
608070,1.57,3.43
621020,1.67,3.59
621043,1.7229,3.6022
621493,1.6251,3.42
621566,1.7187,3.58
624413,1.6792,3.53
641355,1.81,3.8625
641487,1.55,3.29
641857,1.61,3.5175
642715,1.71,3.49
645277,1.5701,3.25
646240,1.6,3.486
647304,1.5052,3.2
650333,1.53,3.3
650402,1.5062,3.22
650490,1.62,3.5069
656941,1.53,3.32
660271,1.61,3.5317
661388,1.68,3.52
663457,1.63,3.4
663538,1.5705,3.3345
663616,1.77,3.8
663647,1.5,3.24
663728,1.68,3.61
663993,1.57,3.49
664023,1.6324,3.5677
664040,1.4574,3.25
665487,1.7797,3.78
665489,1.65,3.6813
665742,1.55,3.2
666176,1.768,3.6299
666182,1.74,3.72
666969,1.6696,3.455
667670,1.7,3.59
668227,1.5764,3.33
668715,1.55,3.32
668804,1.54,3.21
668930,1.62,3.46
669364,1.4854,3.2824
670770,1.4976,3.2183
671218,1.5,3.19
671732,1.66,3.53
671739,1.6389,3.5
672580,1.71,3.61
672640,1.57,3.34
672695,1.62,3.51
672820,1.61,3.3671
673237,1.48,3.18
673548,1.41,3.1695
676391,1.56,3.4
677594,1.54,3.4065
677951,1.64,3.53
678246,1.6,3.4039
678882,1.6628,3.53
679529,1.67,3.58
680574,1.37,3.1
680757,1.45,3.1565
680776,1.67,3.4867
681624,1.62,3.49
682663,1.5013,3.2104
682829,1.71,3.59
682928,1.57,3.49
682985,1.69,3.58
682998,1.52,3.22
683002,1.75,3.7
683011,1.59,3.39
683737,1.5613,3.3
686217,1.4324,3.12
686469,1.6721,3.5552
687263,1.56,3.28
687597,1.72,3.6207
691016,1.53,3.3886
691406,1.64,3.5511
691718,1.471,3.1187
694192,1.626,3.42
695578,1.81,3.89
696100,1.62,3.47
702616,1.58,3.39
808982,1.47,3.31
