rank,batter,player_name,ab,swings,whiffs,whiff_rate
1,691011,Drew Romo,3,7,7,1.0
2,669432,Trevor Rogers,2,1,1,1.0
3,683004,Jack Leiter,1,1,1,1.0
4,675915,David Bañuelos,1,4,3,0.75
5,675659,Greg Jones,2,6,4,0.6666666666666666
6,624513,Dom Nuñez,7,10,6,0.6
7,681909,Justin Dean,2,5,3,0.6
8,677941,Jordyn Adams,5,9,5,0.5555555555555556
9,669398,Gage Workman,16,31,17,0.5483870967741935
10,677956,Rece Hinds,43,93,48,0.5161290322580645
11,605113,Nick Ahmed,9,18,9,0.5
12,691373,Jhostynxon Garcia,7,16,8,0.5
13,695670,Harry Ford,6,16,8,0.5
14,665923,Esteury Ruiz,21,47,22,0.46808510638297873
15,676812,Carson Mccusker,29,60,28,0.4666666666666667
16,804668,Rafael Flores,15,41,19,0.4634146341463415
17,671976,Tristan Peters,12,24,11,0.4583333333333333
18,605204,J. D. Davis,9,20,9,0.45
19,694728,Brice Matthews,42,89,40,0.449438202247191
20,676551,Brewer Hicklen,3,9,4,0.4444444444444444
21,677347,Kyren Paris,126,269,119,0.4423791821561338
22,693409,César Prieto,6,16,7,0.4375
23,682634,Kevin Alcántara,11,21,9,0.42857142857142855
24,676116,Ryan Noda,47,102,43,0.4215686274509804
25,677592,Everson Pereira,65,144,60,0.4166666666666667
26,691728,Zac Veen,34,86,35,0.4069767441860465
27,680869,Zack Gelof,92,212,86,0.4056603773584906
28,664068,Scott Kingery,27,60,24,0.4
29,542963,Rob Brantly,7,15,6,0.4
30,592696,Eddie Rosario,8,15,6,0.4
31,683357,Owen Caissie,26,63,25,0.3968253968253968
32,678225,Ji Hwan Bae,20,48,19,0.3958333333333333
33,642350,José Siri,32,81,32,0.3950617283950617
34,805904,Zach Cole,47,100,39,0.39
35,672284,Jarred Kelenic,60,130,50,0.38461538461538464
36,687478,Cam Devanney,36,84,32,0.38095238095238093
37,669087,Sam Huff,53,108,41,0.37962962962962965
38,670042,Luke Raley,183,448,170,0.3794642857142857
39,656185,Greg Allen,13,29,11,0.3793103448275862
40,681546,James Outman,134,287,108,0.37630662020905925
41,672356,Gabriel Arias,432,1026,385,0.37524366471734893
42,668952,Ryan Kreidler,38,91,34,0.37362637362637363
43,669208,Ryan Bliss,35,70,26,0.37142857142857144
44,694203,Denzer Guzman,42,92,34,0.3695652173913043
45,669004,Mj Melendez,60,122,45,0.36885245901639346
46,455117,Martín Maldonado,145,258,95,0.3682170542635659
47,656541,Sam Hilliard,51,120,44,0.36666666666666664
48,685301,Matt Gorski,40,90,33,0.36666666666666664
49,666211,Taylor Trammell,116,251,92,0.3665338645418327
50,666624,Christopher Morel,278,633,231,0.36492890995260663
51,700246,Carson Williams,99,206,75,0.3640776699029126
52,621035,Chris Taylor,113,245,89,0.363265306122449
53,665155,Nick Maton,54,116,42,0.3620689655172414
54,672744,Alexander Canario,216,479,172,0.35908141962421714
55,670223,Matt Mervis,120,293,105,0.3583617747440273
56,572191,Michael Taylor,295,650,231,0.3553846153846154
57,671286,Johnathan Rodríguez,71,138,49,0.35507246376811596
58,669911,Michael Toglia,306,662,235,0.3549848942598187
59,606992,Eric Haase,70,158,56,0.35443037974683544
60,669722,Logan Davidson,42,96,34,0.3541666666666667
61,683090,Matthew Lugo,69,125,44,0.352
62,666915,Bobby Dalbec,18,37,13,0.35135135135135137
63,695681,Christian Moore,162,369,129,0.34959349593495936
64,519317,Giancarlo Stanton,248,503,175,0.34791252485089463
65,668974,Maverick Handley,41,95,33,0.3473684210526316
66,669326,Bryce Teodosio,138,326,113,0.34662576687116564
67,592178,Kris Bryant,39,84,29,0.34523809523809523
68,656577,Alex Jackson,90,203,70,0.3448275862068966
69,676044,Bob Seymour,78,166,57,0.3433734939759036
70,683770,Will Robertson,70,143,49,0.34265734265734266
71,687515,Colby Thomas,120,278,95,0.34172661870503596
72,669134,Luis Campusano,21,44,15,0.3409090909090909
73,690022,Ryan Ritter,185,418,142,0.3397129186602871
74,663898,Brendan Rodgers,115,230,78,0.3391304347826087
75,805811,Bryce Eldridge,28,65,22,0.3384615384615385
76,689200,Jacob Melton,70,152,51,0.3355263157894737
77,669717,Will Wilson,78,203,68,0.33497536945812806
78,676801,Chas Mccormick,100,239,80,0.33472803347280333
79,691023,Jordan Walker,363,762,255,0.3346456692913386
80,680769,Cj Alexander,17,36,12,0.3333333333333333
81,672012,Tyler Black,8,21,7,0.3333333333333333
82,670242,Matt Wallner,334,785,261,0.332484076433121
83,688760,Blaine Crim,64,130,43,0.33076923076923076
